,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ENSEMBL,symbol
ENSMUSG00000019539,76.0743671703809,-0.180415389447164,0.267809893022132,-0.673669622175811,0.500521379076249,0.742676908749119,ENSMUSG00000019539,Rcn3
ENSMUSG00000019558,127.299476766579,0.576609075321086,0.175727200553232,3.28127389217936,0.0010333934209381,0.0108174782357667,ENSMUSG00000019558,Slc6a8
ENSMUSG00000019577,0.211854249464673,1.59954744696879,4.38492967623686,0.364782919013999,0.715273456459762,NA,ENSMUSG00000019577,Pdk4
ENSMUSG00000019689,361.749539657224,-0.0865388063304224,0.101844836681274,-0.849712259849246,0.395485080634109,0.659207501709832,ENSMUSG00000019689,Fmc1
ENSMUSG00000019699,571.245660321913,0.228209924199287,0.078539719707373,2.90566257493103,0.00366476413030673,0.0290101861155287,ENSMUSG00000019699,Akt3
ENSMUSG00000019710,1103.35687608254,-0.0609316275789964,0.0584334914642591,-1.04275178587036,0.297063266686999,0.565307593419441,ENSMUSG00000019710,Mrpl24
ENSMUSG00000019715,1169.59425271198,0.078919207469117,0.0581694522304482,1.35671223370757,0.174872663779052,0.417460117065694,ENSMUSG00000019715,Gle1
ENSMUSG00000019734,141.92088559343,0.194473685233017,0.175103557985542,1.11062098035195,0.266731528134756,0.528329046992415,ENSMUSG00000019734,Tmc4
ENSMUSG00000019737,7.35382802952629,0.121935780158452,0.645872471241067,0.188792347696981,0.850255569645178,NA,ENSMUSG00000019737,Syne4
ENSMUSG00000019738,261.415107061605,-0.080773712552866,0.11381282634895,-0.709706587069666,0.477886106524531,0.725506165806307,ENSMUSG00000019738,Polr2i
ENSMUSG00000019762,0,NA,NA,NA,NA,NA,ENSMUSG00000019762,Iyd
ENSMUSG00000019763,348.013589763623,0.0656322318689552,0.0972374284677372,0.674968815025087,0.499695578038454,0.741818071113702,ENSMUSG00000019763,Rmnd1
ENSMUSG00000019767,1.24397376484015,0.439765500588822,1.8573451958675,0.236771011423875,0.812834441690847,NA,ENSMUSG00000019767,Ccdc170
ENSMUSG00000019768,315.713927880854,0.182372300865251,0.101361030438067,1.79923487436016,0.0719815350268393,0.245404937713827,ENSMUSG00000019768,Esr1
ENSMUSG00000019772,0.0937843475725976,-1.01896047248827,4.40735632396697,-0.231195391883161,0.817163009785212,NA,ENSMUSG00000019772,Vip
